Source Plate Barcode,Source Well
Plate1,D5
Plate1,B6
Plate1,J7
Plate1,C10
Plate1,O16
Plate1,F18
Plate1,I18
Plate1,J19
Plate1,G20
Plate1,B21
Plate3,N5
Plate3,L6
Plate3,O7
Plate3,C9
Plate3,D12
Plate3,D16
Plate3,E19
Plate3,I21
Plate3,M21
Plate3,N22
Plate2,B1
Plate2,A2
Plate2,K3
Plate2,C5
Plate2,K6
Plate2,O6
Plate2,A7
Plate2,F19
Plate2,N19
Plate4,I22
Plate4,E9
Plate4,H11
Plate4,L12
Plate4,G15
Plate4,O15
Plate4,G16
Plate4,F18
Plate4,C20
Plate4,F22
Plate5,O23
Plate5,L1
Plate5,B2
Plate5,B9
Plate5,D10
Plate5,J13
Plate5,J15
Plate5,L16
Plate5,N16
Plate5,K20
Plate5,C22
