Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Transfer Volume
Plate1,D5,destPlate100,A2,100
Plate1,B6,destPlate100,A2,90
Plate1,J7,destPlate100,A4,80
Plate1,C10,destPlate100,A5,70
Plate1,O16,destPlate100,A6,60
Plate1,F18,destPlate100,A7,50
Plate1,I18,destPlate100,A8,40
Plate1,J19,destPlate100,A9,30
Plate1,G20,destPlate100,A10,20
Plate1,B21,destPlate100,A11,10
Plate3,N5,destPlate100,B1,100
Plate3,L6,destPlate100,B2,90
Plate3,O7,destPlate100,B3,80
Plate3,C9,destPlate100,B4,70
Plate3,D12,destPlate100,B5,60
Plate3,D16,destPlate100,B6,50
Plate3,E19,destPlate100,B7,40
Plate3,I21,destPlate100,B8,30
Plate3,M21,destPlate100,B9,20
Plate3,N22,destPlate100,B10,10
Plate2,B1,destPlate100,C1,100
Plate2,A2,destPlate100,C2,90
Plate2,K3,destPlate100,C3,80
Plate2,C5,destPlate100,C4,70
Plate2,K6,destPlate100,C5,60
Plate2,O6,destPlate200,A2,100
Plate2,A7,destPlate200,A3,90
Plate2,F19,destPlate200,A4,80
Plate2,N19,destPlate200,A5,70
Plate4,I22,destPlate200,A6,60
Plate4,E9,destPlate200,A7,50
Plate4,H11,destPlate200,A8,40
Plate4,L12,destPlate200,A9,30
Plate4,G15,destPlate200,A10,20
Plate4,O15,destPlate200,A11,10
Plate4,G16,destPlate200,B1,100
Plate4,F18,destPlate200,B2,90
Plate4,C20,destPlate200,B3,80
Plate4,F22,destPlate200,B4,70
Plate5,O23,destPlate200,B5,60
Plate5,L1,destPlate200,B6,50
Plate5,B2,destPlate200,B7,40
Plate5,B9,destPlate200,B8,30
Plate5,D10,destPlate200,B9,20
Plate5,J13,destPlate200,B10,10
Plate5,J15,destPlate200,C1,100
Plate5,L16,destPlate200,C2,90
Plate5,N16,destPlate200,C3,80
Plate5,K20,destPlate200,C4,70
Plate5,C22,destPlate200,C5,60
